Geolocation;Species;2002 Annual;2003 Annual;2004 Annual;2005 Annual;2006 Annual;2007 Annual;2008 Annual;2009 Annual;2010 Annual;2011 Annual;2012 Annual;2013 Annual;2014 Annual;2015 Annual;2016 Annual;2017 Annual;2018 Annual;2019 Annual;2020 Annual;2021 Annual;2022 Annual;2023 Annual
Palawan;Round herring (Tulis);;518.00;999.00;1066.82;1522.37;1463.98;1895.00;1699.12;1409.88;1948.98;1593.14;2130.21;1218.06;287.28;473.29;705.44;782.95;796.56;1062.28;1204.54;1060.51;239.32
Palawan;Roundscad (Galunggong);2293.00;9443.00;10908.00;10073.65;15335.76;14800.00;11020.67;10332.86;9504.26;6121.13;4433.55;5122.48;4193.34;4266.66;2879.88;2836.16;2949.40;1869.95;2462.56;2310.91;1686.66;1752.19
Palawan;Siganid (Samaral);3683.00;3312.00;4155.50;4023.41;5648.13;8064.72;7196.77;5114.67;3673.57;4330.66;4826.42;5439.39;5061.77;5575.28;4495.50;4048.66;4488.40;5163.63;4459.52;3965.26;2412.97;2865.97
Palawan;Skipjack (Gulyasan);5530.00;2827.00;3672.00;3289.05;6145.28;5353.30;4831.51;5673.90;4517.00;4774.98;3572.58;2781.18;2993.87;2691.16;1953.29;1652.92;1007.93;767.04;629.20;768.41;511.04;3064.06
Palawan;Slipmouth (Sapsap);6252.00;9346.00;8700.00;7198.82;10598.29;8414.54;9744.32;8836.76;10461.32;8568.98;9327.87;7182.12;8781.98;7324.55;6793.56;6866.96;9216.61;10760.68;9141.28;8622.97;5443.59;7462.27
Palawan;Snapper (Maya-maya);3672.00;1343.00;1934.00;1727.76;2572.33;2591.84;3662.22;4195.45;4465.25;5181.97;4389.62;4487.27;3633.55;2868.81;2103.96;2450.93;2145.85;1839.57;2009.72;2173.18;1995.06;1343.58
Palawan;Spanish mackerel (Tanigue);835.00;768.00;864.00;893.12;1364.91;1831.72;2028.58;1881.41;2383.87;2801.60;1841.00;1525.73;639.17;1139.20;1226.17;1416.68;1868.79;2303.67;2482.69;2149.58;1340.98;2386.91
Palawan;Squid (Pusit);1919.00;2307.00;3833.00;3791.80;4712.67;4882.40;2913.31;2029.23;2436.33;3374.98;3143.93;4629.98;5480.93;4421.18;2982.34;3351.20;3304.88;3186.02;3125.52;3378.71;2807.57;4160.54
Palawan;Threadfin bream (Bisugo);13426.00;3903.00;4413.00;4427.44;7078.77;9965.43;9367.49;7771.47;7816.92;8453.60;6133.92;5567.62;4547.55;5780.96;4546.58;3986.06;3074.03;3306.93;3358.93;3094.98;4486.54;4452.75
Palawan;Yellowfin tuna (Tambakol/Bariles);8728.00;8807.00;10396.00;10531.74;14554.33;12886.08;9428.18;11347.79;8004.30;7086.06;4489.94;3314.79;3568.78;3160.87;2539.65;2115.16;1650.09;1299.71;1016.97;1136.20;1079.86;941.27
Palawan;Others;8994.00;25752.00;29468.00;28124.45;43135.83;38991.27;22562.50;23191.60;26554.24;19122.64;16198.31;10469.72;8734.21;6340.34;12163.16;9608.00;10615.32;12443.33;9674.26;7926.66;30870.67;37254.68
